optimal_value_per_iteration1,optimal_value_per_iteration2,optimal_value_per_iteration3,optimal_value_per_iteration4,optimal_value_per_iteration5,optimal_value_per_iteration6,optimal_value_per_iteration7,optimal_value_per_iteration8,optimal_value_per_iteration9,optimal_value_per_iteration10,optimal_value_per_iteration11
138.357798263447,0,0,0,0,0,0,0,0,0,0
5.08665830937387,0,0,0,0,0,0,0,0,0,0
5.08665830937387,0,0,0,0,0,0,0,0,0,0
5.08665830937387,0,0,0,0,0,0,0,0,0,0
5.08665830937387,0,0,0,0,0,0,0,0,0,0
5.08665830937387,0,0,0,0,0,0,0,0,0,0
5.08665830937387,0,0,0,0,0,0,0,0,0,0
5.08665830937387,0,0,0,0,0,0,0,0,0,0
5.08665830937387,0,0,0,0,0,0,0,0,0,0
5.08665830937387,0,0,0,0,0,0,0,0,0,0
2.8492487624647,0,0,0,0,0,0,0,0,0,0
